MATCHID,ROUND,TEAM_ID,TEAM,LOCATION,P1_ID,P1_NAME,P1_POS,P2_ID,P2_NAME,P2_POS,P3_ID,P3_NAME,P3_POS,P4_ID,P4_NAME,P4_POS,P5_ID,P5_NAME,P5_POS,MINUTES,SECONDS,PTS_FOR,PTS_AGAINST,PLUS_MINUS,PTS_FOR_PER40,PTS_AGT_PER40,NET_PER40
2486258,1,979989,HLA ALICANTE,HOME,1285873,M. Torres,PG,1869378,U. Mendicote,SF,1676991,A. Jordá,SF,2817123,D. Geu,PF,1997161,I. Tamba,PF,1.7,99.0,0.0,8.0,-8.0,0.0,193.9,-193.9
2486258,1,979989,HLA ALICANTE,HOME,1285873,M. Torres,PG,1869378,U. Mendicote,SF,2735928,B. Davison,SF,1997161,I. Tamba,PF,2433482,K. Larsen,C,1.7,101.0,4.0,5.0,-1.0,95.0,118.8,-23.8
2486258,1,979989,HLA ALICANTE,HOME,1285873,M. Torres,PG,1869378,U. Mendicote,SF,2736303,J. Walker,SF,1676991,A. Jordá,SF,1997161,I. Tamba,PF,1.3,78.0,3.0,4.0,-1.0,92.3,123.1,-30.8
2486258,1,979989,HLA ALICANTE,HOME,1285873,M. Torres,PG,1869378,U. Mendicote,SF,2736303,J. Walker,SF,1676991,A. Jordá,SF,2433482,K. Larsen,C,2.5,149.0,7.0,2.0,5.0,112.8,32.2,80.5
2486258,1,979989,HLA ALICANTE,HOME,1285873,M. Torres,PG,1869378,U. Mendicote,SF,2736303,J. Walker,SF,2735928,B. Davison,SF,2433482,K. Larsen,C,1.6,90.0,1.0,7.0,-6.0,26.7,186.7,-160.0
2486258,1,979989,HLA ALICANTE,HOME,1285873,M. Torres,PG,2734619,J. Mwema,SF,1676991,A. Jordá,SF,2817123,D. Geu,PF,2433482,K. Larsen,C,0.9,57.0,1.0,2.0,-1.0,42.1,84.2,-42.1
2486258,1,979989,HLA ALICANTE,HOME,1285873,M. Torres,PG,2734619,J. Mwema,SF,2735928,B. Davison,SF,2817123,D. Geu,PF,2433482,K. Larsen,C,5.9,353.0,11.0,17.0,-6.0,74.8,115.6,-40.8
2486258,1,979989,HLA ALICANTE,HOME,1285873,M. Torres,PG,2736303,J. Walker,SF,2734619,J. Mwema,SF,1676991,A. Jordá,SF,2433482,K. Larsen,C,5.6,335.0,19.0,10.0,9.0,136.1,71.6,64.5
2486258,1,979989,HLA ALICANTE,HOME,1285873,M. Torres,PG,2736303,J. Walker,SF,2734619,J. Mwema,SF,2817123,D. Geu,PF,1997161,I. Tamba,PF,1.6,98.0,2.0,0.0,2.0,49.0,0.0,49.0
2486258,1,979989,HLA ALICANTE,HOME,1285873,M. Torres,PG,2736303,J. Walker,SF,2734619,J. Mwema,SF,2817123,D. Geu,PF,2433482,K. Larsen,C,2.2,134.0,2.0,5.0,-3.0,35.8,89.6,-53.7
2486258,1,979989,HLA ALICANTE,HOME,1869378,U. Mendicote,SF,2736303,J. Walker,SF,2734619,J. Mwema,SF,1676991,A. Jordá,SF,2818653,B. Coulibaly,C,4.3,262.0,9.0,6.0,3.0,82.4,55.0,27.5
2486258,1,979989,HLA ALICANTE,HOME,1869378,U. Mendicote,SF,2736303,J. Walker,SF,2734619,J. Mwema,SF,2735928,B. Davison,SF,2433482,K. Larsen,C,2.1,127.0,7.0,0.0,7.0,132.3,0.0,132.3
2486258,1,979989,HLA ALICANTE,HOME,1869378,U. Mendicote,SF,2736303,J. Walker,SF,2734619,J. Mwema,SF,2817123,D. Geu,PF,1997161,I. Tamba,PF,0.8,47.0,3.0,1.0,2.0,153.2,51.1,102.1
2486258,1,979989,HLA ALICANTE,HOME,1869378,U. Mendicote,SF,2736303,J. Walker,SF,2735928,B. Davison,SF,1676991,A. Jordá,SF,2433482,K. Larsen,C,1.4,86.0,4.0,2.0,2.0,111.6,55.8,55.8
2486258,1,979989,HLA ALICANTE,HOME,1869378,U. Mendicote,SF,2736303,J. Walker,SF,2735928,B. Davison,SF,1997161,I. Tamba,PF,2433482,K. Larsen,C,0.8,50.0,2.0,0.0,2.0,96.0,0.0,96.0
2486258,1,979989,HLA ALICANTE,HOME,1869378,U. Mendicote,SF,2736303,J. Walker,SF,2735928,B. Davison,SF,1997161,I. Tamba,PF,2818653,B. Coulibaly,C,0.3,17.0,0.0,2.0,-2.0,0.0,282.4,-282.4
2486258,1,979989,HLA ALICANTE,HOME,2736303,J. Walker,SF,2734619,J. Mwema,SF,1676991,A. Jordá,SF,2817123,D. Geu,PF,2433482,K. Larsen,C,2.5,153.0,5.0,5.0,0.0,78.4,78.4,0.0
2486258,1,979989,HLA ALICANTE,HOME,2736303,J. Walker,SF,2734619,J. Mwema,SF,2735928,B. Davison,SF,2817123,D. Geu,PF,2433482,K. Larsen,C,2.8,164.0,7.0,0.0,7.0,102.4,0.0,102.4
2486258,1,981493,CLUB OURENSE BALONCESTO,AWAY,1778999,I. Vázquez,PG,1765084,S. Huguet,SF,2781800,S. Mc Donnell,SF,2819332,D. Saraiva,PF,1863291,M. Iglesias,C,3.6,213.0,12.0,6.0,6.0,135.2,67.6,67.6
2486258,1,981493,CLUB OURENSE BALONCESTO,AWAY,1778999,I. Vázquez,PG,2819327,G. Kalscheur,SG,1765084,S. Huguet,SF,2781800,S. Mc Donnell,SF,1863291,M. Iglesias,C,0.6,36.0,0.0,3.0,-3.0,0.0,200.0,-200.0
2486258,1,981493,CLUB OURENSE BALONCESTO,AWAY,2650871,R. Lisboa,PG,1765084,S. Huguet,SF,2819338,K. Smith,SF,2819332,D. Saraiva,PF,1863291,M. Iglesias,C,0.5,31.0,0.0,2.0,-2.0,0.0,154.8,-154.8
2486258,1,981493,CLUB OURENSE BALONCESTO,AWAY,2650871,R. Lisboa,PG,1765084,S. Huguet,SF,2819338,K. Smith,SF,2819332,D. Saraiva,PF,2819330,C. Okanu,C,1.1,65.0,0.0,2.0,-2.0,0.0,73.8,-73.8
2486258,1,981493,CLUB OURENSE BALONCESTO,AWAY,2650871,R. Lisboa,PG,2819327,G. Kalscheur,SG,1765084,S. Huguet,SF,2781800,S. Mc Donnell,SF,1863291,M. Iglesias,C,1.5,93.0,2.0,4.0,-2.0,51.6,103.2,-51.6
2486258,1,981493,CLUB OURENSE BALONCESTO,AWAY,2650871,R. Lisboa,PG,2819327,G. Kalscheur,SG,1765084,S. Huguet,SF,2781800,S. Mc Donnell,SF,2819330,C. Okanu,C,0.3,17.0,2.0,0.0,2.0,282.4,0.0,282.4
2486258,1,981493,CLUB OURENSE BALONCESTO,AWAY,2650871,R. Lisboa,PG,2819327,G. Kalscheur,SG,1765084,S. Huguet,SF,2819338,K. Smith,SF,2819330,C. Okanu,C,2.4,141.0,3.0,10.0,-7.0,51.1,170.2,-119.1
2486258,1,981493,CLUB OURENSE BALONCESTO,AWAY,2650871,R. Lisboa,PG,2819327,G. Kalscheur,SG,2781800,S. Mc Donnell,SF,2819338,K. Smith,SF,1863291,M. Iglesias,C,1.0,59.0,4.0,2.0,2.0,162.7,81.4,81.4
