MATCHID,ROUND,HOME_TEAM_ID,HOME_TEAM,AWAY_TEAM_ID,AWAY_TEAM,SCORE_STR,STATUS
2486524,30,981525,FLEXICAR FUENLABRADA,980004,LEYMA CORUNA,SÁBADO18/04/202618:30,PENDING
2486525,30,979907,GRUPO ALEGA CANTABRIA,979989,HLA ALICANTE,VIERNES17/04/202620:30,PENDING
2486526,30,979769,MELILLA CIUDAD DEL DEPORTE,981125,CAJA RURAL CB ZAMORA,DOMINGO19/04/202618:00,PENDING
2486529,31,981214,FIBWI MALLORCA BASQUET PALMA,981203,INVEREADY GIPUZKOA,MIÉRCOLES22/04/202620:00,PENDING
2486530,31,979920,GRUPO URETA TIZONA BURGOS,981421,MONBUS OBRADOIRO,MARTES21/04/202620:00,PENDING
2486531,31,980004,LEYMA CORUNA,981300,HESTIA MENORCA,MIÉRCOLES22/04/202620:45,PENDING
2486532,31,981431,MOVISTAR ESTUDIANTES,979769,MELILLA CIUDAD DEL DEPORTE,MIÉRCOLES22/04/202620:00,PENDING
2486533,31,981251,GRUPO CAESA SEGUROS FC CARTAGENA CB,981125,CAJA RURAL CB ZAMORA,MIÉRCOLES22/04/202620:30,PENDING
2486534,31,981493,CLOUD.GAL OURENSE BALONCESTO,981343,SUPER AGROPAL PALENCIA,MARTES21/04/202620:45,PENDING
2486535,31,981124,ALIMERKA OVIEDO BALONCESTO,981215,PALMER BASKET MALLORCA PALMA,MARTES21/04/20260:00,PENDING
2486536,31,979907,GRUPO ALEGA CANTABRIA,981525,FLEXICAR FUENLABRADA,MIÉRCOLES22/04/202620:30,PENDING
2486537,32,981300,HESTIA MENORCA,981493,CLOUD.GAL OURENSE BALONCESTO,DOMINGO26/04/202612:30,PENDING
2486538,32,981215,PALMER BASKET MALLORCA PALMA,979989,HLA ALICANTE,DOMINGO26/04/202618:00,PENDING
2486539,32,980004,LEYMA CORUNA,981203,INVEREADY GIPUZKOA,DOMINGO26/04/202612:30,PENDING
2486540,32,981421,MONBUS OBRADOIRO,981431,MOVISTAR ESTUDIANTES,DOMINGO26/04/202618:00,PENDING
2486541,32,981525,FLEXICAR FUENLABRADA,981251,GRUPO CAESA SEGUROS FC CARTAGENA CB,DOMINGO26/04/202618:00,PENDING
2486542,32,981343,SUPER AGROPAL PALENCIA,981214,FIBWI MALLORCA BASQUET PALMA,SÁBADO25/04/202620:00,PENDING
2486543,32,981125,CAJA RURAL CB ZAMORA,979907,GRUPO ALEGA CANTABRIA,DOMINGO26/04/202612:30,PENDING
2486544,32,979769,MELILLA CIUDAD DEL DEPORTE,979920,GRUPO URETA TIZONA BURGOS,DOMINGO26/04/202618:00,PENDING
2486546,33,979989,HLA ALICANTE,979920,GRUPO URETA TIZONA BURGOS,SÁBADO02/05/202619:00,PENDING
2486547,33,981214,FIBWI MALLORCA BASQUET PALMA,980004,LEYMA CORUNA,DOMINGO03/05/202618:00,PENDING
2486548,33,981203,INVEREADY GIPUZKOA,981300,HESTIA MENORCA,DOMINGO03/05/202618:00,PENDING
