MATCHID,ROUND,HOME_TEAM_ID,HOME_TEAM,AWAY_TEAM_ID,AWAY_TEAM,SCORE_STR,STATUS
2486333,9,981525,FLEXICAR FUENLABRADA,981203,INVEREADY GIPUZKOA,70-87,PLAYED
2486334,9,981124,ALIMERKA OVIEDO BALONCESTO,981300,HESTIA MENORCA,67-75,PLAYED
2486335,9,981343,SUPER AGROPAL PALENCIA,981431,MOVISTAR ESTUDIANTES,83-52,PLAYED
2486336,9,981125,CAJA RURAL CB ZAMORA,981251,GRUPO CAESA SEGUROS FC CARTAGENA CB,90-71,PLAYED
2486337,9,979769,MELILLA CIUDAD DEL DEPORTE,981215,PALMER BASKET MALLORCA PALMA,90-76,PLAYED
2486339,10,981214,FIBWI MALLORCA BASQUET PALMA,979920,GRUPO URETA TIZONA BURGOS,87-86,PLAYED
2486340,10,981300,HESTIA MENORCA,981125,CAJA RURAL CB ZAMORA,88-74,PLAYED
2486341,10,981215,PALMER BASKET MALLORCA PALMA,981431,MOVISTAR ESTUDIANTES,64-68,PLAYED
2486342,10,980004,LEYMA CORUNA,981343,SUPER AGROPAL PALENCIA,82-75,PLAYED
2486343,10,981421,MONBUS OBRADOIRO,981525,FLEXICAR FUENLABRADA,97-69,PLAYED
2486344,10,981203,INVEREADY GIPUZKOA,979989,HLA ALICANTE,77-70,PLAYED
2486346,10,981493,CLOUD.GAL OURENSE BALONCESTO,979769,MELILLA CIUDAD DEL DEPORTE,98-75,PLAYED
2486347,10,981124,ALIMERKA OVIEDO BALONCESTO,979907,GRUPO ALEGA CANTABRIA,97-79,PLAYED
2486348,11,979989,HLA ALICANTE,981124,ALIMERKA OVIEDO BALONCESTO,88-89,PLAYED
2486349,11,981215,PALMER BASKET MALLORCA PALMA,981251,GRUPO CAESA SEGUROS FC CARTAGENA CB,77-68,PLAYED
2486350,11,981431,MOVISTAR ESTUDIANTES,979920,GRUPO URETA TIZONA BURGOS,102-85,PLAYED
2486351,11,981525,FLEXICAR FUENLABRADA,981493,CLOUD.GAL OURENSE BALONCESTO,78-71,PLAYED
2486352,11,981343,SUPER AGROPAL PALENCIA,981203,INVEREADY GIPUZKOA,64-76,PLAYED
2486353,11,979907,GRUPO ALEGA CANTABRIA,981300,HESTIA MENORCA,83-80,PLAYED
2486354,11,981125,CAJA RURAL CB ZAMORA,980004,LEYMA CORUNA,69-81,PLAYED
2486355,11,979769,MELILLA CIUDAD DEL DEPORTE,981214,FIBWI MALLORCA BASQUET PALMA,72-79,PLAYED
2486357,12,979989,HLA ALICANTE,981525,FLEXICAR FUENLABRADA,91-86,PLAYED
2486358,12,981214,FIBWI MALLORCA BASQUET PALMA,981343,SUPER AGROPAL PALENCIA,86-93,PLAYED
2486359,12,981300,HESTIA MENORCA,981431,MOVISTAR ESTUDIANTES,86-96,PLAYED
2486360,12,979920,GRUPO URETA TIZONA BURGOS,981215,PALMER BASKET MALLORCA PALMA,95-59,PLAYED
2486361,12,980004,LEYMA CORUNA,981493,CLOUD.GAL OURENSE BALONCESTO,94-77,PLAYED
2486362,12,981421,MONBUS OBRADOIRO,981125,CAJA RURAL CB ZAMORA,106-80,PLAYED
2486363,12,981203,INVEREADY GIPUZKOA,979769,MELILLA CIUDAD DEL DEPORTE,84-62,PLAYED
2486364,12,981251,GRUPO CAESA SEGUROS FC CARTAGENA CB,979907,GRUPO ALEGA CANTABRIA,68-74,PLAYED
2486366,13,981215,PALMER BASKET MALLORCA PALMA,981421,MONBUS OBRADOIRO,45-115,PLAYED
2486367,13,979920,GRUPO URETA TIZONA BURGOS,979989,HLA ALICANTE,72-85,PLAYED
2486368,13,981525,FLEXICAR FUENLABRADA,981343,SUPER AGROPAL PALENCIA,73-67,PLAYED
2486369,13,981251,GRUPO CAESA SEGUROS FC CARTAGENA CB,980004,LEYMA CORUNA,80-89,PLAYED
2486370,13,981493,CLOUD.GAL OURENSE BALONCESTO,981203,INVEREADY GIPUZKOA,77-89,PLAYED
2486371,13,979907,GRUPO ALEGA CANTABRIA,981214,FIBWI MALLORCA BASQUET PALMA,77-65,PLAYED
2486372,13,981125,CAJA RURAL CB ZAMORA,981124,ALIMERKA OVIEDO BALONCESTO,104-102,PLAYED
2486373,13,979769,MELILLA CIUDAD DEL DEPORTE,981300,HESTIA MENORCA,65-95,PLAYED
2486375,14,979989,HLA ALICANTE,981251,GRUPO CAESA SEGUROS FC CARTAGENA CB,95-77,PLAYED
2486376,14,981214,FIBWI MALLORCA BASQUET PALMA,981215,PALMER BASKET MALLORCA PALMA,82-80,PLAYED
2486377,14,981300,HESTIA MENORCA,981525,FLEXICAR FUENLABRADA,80-70,PLAYED
2486378,14,981421,MONBUS OBRADOIRO,980004,LEYMA CORUNA,103-99,PLAYED
2486379,14,981203,INVEREADY GIPUZKOA,979907,GRUPO ALEGA CANTABRIA,88-77,PLAYED
2486380,14,981431,MOVISTAR ESTUDIANTES,981125,CAJA RURAL CB ZAMORA,86-77,PLAYED
2486381,14,981124,ALIMERKA OVIEDO BALONCESTO,981493,CLOUD.GAL OURENSE BALONCESTO,75-73,PLAYED
2486382,14,981343,SUPER AGROPAL PALENCIA,979920,GRUPO URETA TIZONA BURGOS,91-76,PLAYED
2486384,15,981300,HESTIA MENORCA,979989,HLA ALICANTE,81-68,PLAYED
2486385,15,981215,PALMER BASKET MALLORCA PALMA,981203,INVEREADY GIPUZKOA,63-71,PLAYED
2486387,15,980004,LEYMA CORUNA,979907,GRUPO ALEGA CANTABRIA,102-67,PLAYED
2486388,15,981431,MOVISTAR ESTUDIANTES,981493,CLOUD.GAL OURENSE BALONCESTO,92-75,PLAYED
2486389,15,981251,GRUPO CAESA SEGUROS FC CARTAGENA CB,981525,FLEXICAR FUENLABRADA,75-88,PLAYED
2486390,15,981124,ALIMERKA OVIEDO BALONCESTO,981214,FIBWI MALLORCA BASQUET PALMA,83-64,PLAYED
2486391,15,981343,SUPER AGROPAL PALENCIA,981421,MONBUS OBRADOIRO,85-87,PLAYED
2486392,15,981125,CAJA RURAL CB ZAMORA,979769,MELILLA CIUDAD DEL DEPORTE,97-88,PLAYED
2486393,16,979989,HLA ALICANTE,980004,LEYMA CORUNA,89-96,PLAYED
2486394,16,981214,FIBWI MALLORCA BASQUET PALMA,981431,MOVISTAR ESTUDIANTES,80-76,PLAYED
2486395,16,979920,GRUPO URETA TIZONA BURGOS,981300,HESTIA MENORCA,85-102,PLAYED
2486396,16,981203,INVEREADY GIPUZKOA,981124,ALIMERKA OVIEDO BALONCESTO,74-69,PLAYED
2486397,16,981525,FLEXICAR FUENLABRADA,981125,CAJA RURAL CB ZAMORA,79-61,PLAYED
2486398,16,981493,CLOUD.GAL OURENSE BALONCESTO,981421,MONBUS OBRADOIRO,96-93,PLAYED
2486399,16,979907,GRUPO ALEGA CANTABRIA,981215,PALMER BASKET MALLORCA PALMA,73-76,PLAYED
2486400,16,979769,MELILLA CIUDAD DEL DEPORTE,981251,GRUPO CAESA SEGUROS FC CARTAGENA CB,84-91,PLAYED
2486402,17,981300,HESTIA MENORCA,981203,INVEREADY GIPUZKOA,71-64,PLAYED
